date,weeks_postb,bleach_treat,colony_id,dead,n
10/9/23,10,Control,A,0,21
10/9/23,10,Control,B,0,20
10/9/23,10,Control,C,0,21
10/9/23,10,Control,D,0,23
10/9/23,10,Control,E,0,20
10/9/23,10,Control,F,0,21
10/9/23,10,Low,A,0,45
10/9/23,10,Low,B,0,45
10/9/23,10,Low,C,0,45
10/9/23,10,Low,D,0,45
10/9/23,10,Low,E,2,45
10/9/23,10,Low,F,0,45
10/9/23,10,Medium,A,0,45
10/9/23,10,Medium,B,0,45
10/9/23,10,Medium,C,0,45
10/9/23,10,Medium,D,0,45
10/9/23,10,Medium,E,2,45
10/9/23,10,Medium,F,0,45
10/9/23,10,Severe,A,1,45
10/9/23,10,Severe,B,0,45
10/9/23,10,Severe,C,0,45
10/9/23,10,Severe,D,0,45
10/9/23,10,Severe,E,20,45
10/9/23,10,Severe,F,1,45
10/17/23,11,Control,A,0,21
10/17/23,11,Control,B,0,20
10/17/23,11,Control,C,0,21
10/17/23,11,Control,D,0,23
10/17/23,11,Control,E,0,20
10/17/23,11,Control,F,0,21
10/17/23,11,Low,A,0,45
10/17/23,11,Low,B,0,45
10/17/23,11,Low,C,0,45
10/17/23,11,Low,D,0,45
10/17/23,11,Low,E,2,45
10/17/23,11,Low,F,0,45
10/17/23,11,Medium,A,0,45
10/17/23,11,Medium,B,0,45
10/17/23,11,Medium,C,0,45
10/17/23,11,Medium,D,0,45
10/17/23,11,Medium,E,6,45
10/17/23,11,Medium,F,0,45
10/17/23,11,Severe,A,6,45
10/17/23,11,Severe,B,0,45
10/17/23,11,Severe,C,5,45
10/17/23,11,Severe,D,1,45
10/17/23,11,Severe,E,37,45
10/17/23,11,Severe,F,1,45
10/21/23,11.5,Control,A,0,21
10/21/23,11.5,Control,B,0,20
10/21/23,11.5,Control,C,0,21
10/21/23,11.5,Control,D,0,23
10/21/23,11.5,Control,E,0,20
10/21/23,11.5,Control,F,0,21
10/21/23,11.5,Low,A,0,45
10/21/23,11.5,Low,B,0,45
10/21/23,11.5,Low,C,0,45
10/21/23,11.5,Low,D,0,45
10/21/23,11.5,Low,E,2,45
10/21/23,11.5,Low,F,1,45
10/21/23,11.5,Medium,A,0,45
10/21/23,11.5,Medium,B,0,45
10/21/23,11.5,Medium,C,0,45
10/21/23,11.5,Medium,D,1,45
10/21/23,11.5,Medium,E,6,45
10/21/23,11.5,Medium,F,1,45
10/21/23,11.5,Severe,A,6,45
10/21/23,11.5,Severe,B,0,45
10/21/23,11.5,Severe,C,5,45
10/21/23,11.5,Severe,D,1,45
10/21/23,11.5,Severe,E,40,45
10/21/23,11.5,Severe,F,1,45
10/30/23,12.5,Control,A,0,21
10/30/23,12.5,Control,B,0,20
10/30/23,12.5,Control,C,0,21
10/30/23,12.5,Control,D,0,23
10/30/23,12.5,Control,E,0,20
10/30/23,12.5,Control,F,0,21
10/30/23,12.5,Low,A,0,45
10/30/23,12.5,Low,B,0,45
10/30/23,12.5,Low,C,0,45
10/30/23,12.5,Low,D,0,45
10/30/23,12.5,Low,E,2,45
10/30/23,12.5,Low,F,1,45
10/30/23,12.5,Medium,A,2,45
10/30/23,12.5,Medium,B,0,45
10/30/23,12.5,Medium,C,0,45
10/30/23,12.5,Medium,D,1,45
10/30/23,12.5,Medium,E,9,45
10/30/23,12.5,Medium,F,1,45
10/30/23,12.5,Severe,A,7,45
10/30/23,12.5,Severe,B,0,45
10/30/23,12.5,Severe,C,6,45
10/30/23,12.5,Severe,D,1,45
10/30/23,12.5,Severe,E,41,45
10/30/23,12.5,Severe,F,1,45
